Sparse matrix update
Dimension	CoeffRef	Triplets	Transform	Pointers	Indices	
8	0.001626	0.002229	0.011405	0.000179	0.000353	
12	0.003292	0.003640	0.023398	0.000315	0.000580	
16	0.005081	0.005399	0.038570	0.000443	0.000860	
20	0.006495	0.006638	0.056589	0.000582	0.001122	
24	0.008089	0.008268	0.074382	0.000708	0.001413	
28	0.009919	0.009469	0.096016	0.000840	0.001667	
32	0.011402	0.011126	0.118988	0.000970	0.001949	
36	0.012951	0.012969	0.141868	0.001098	0.002228	
40	0.014650	0.013986	0.165722	0.001285	0.002495	
44	0.016270	0.015898	0.194674	0.001363	0.002758	
48	0.017769	0.016856	0.225077	0.001544	0.003103	
52	0.020004	0.018117	0.262960	0.001628	0.003348	
56	0.022154	0.020114	0.289720	0.001846	0.004624	
60	0.022746	0.021169	0.326464	0.001896	0.004004	
64	0.025548	0.022757	0.365432	0.002202	0.004189	
68	0.026569	0.024605	0.405990	0.002303	0.004455	
72	0.028834	0.026656	0.515685	0.002786	0.004850	
76	0.031607	0.027719	0.498792	0.002875	0.006627	
80	0.032343	0.028998	0.546368	0.003205	0.006087	
84	0.034319	0.030230	0.592358	0.003245	0.006139	
88	0.036660	0.031750	0.638442	0.003538	0.006232	
92	0.038941	0.033403	0.688136	0.003713	0.006434	
96	0.041308	0.035120	0.745240	0.003816	0.006975	
100	0.044489	0.035858	0.814907	0.004398	0.007137	
104	0.045065	0.038835	0.867085	0.004595	0.007487	
108	0.046971	0.039380	0.924725	0.005132	0.007820	
112	0.049681	0.042188	0.979390	0.005202	0.008466	
116	0.051219	0.042278	1.050567	0.005438	0.010742	
120	0.053774	0.043332	1.117023	0.005384	0.009065	
124	0.055624	0.046315	1.183175	0.005845	0.009460	
128	0.058873	0.071255	1.272789	0.006754	0.009969	
132	0.061982	0.048582	1.341366	0.006385	0.010203	
136	0.063634	0.049948	1.430572	0.006665	0.010636	
140	0.066630	0.050929	1.498824	0.006995	0.010977	
144	0.068927	0.052458	1.600037	0.007563	0.011767	
148	0.069555	0.054255	1.646755	0.008031	0.011615	
152	0.074046	0.055627	1.715744	0.007908	0.011874	
156	0.074829	0.057575	1.793772	0.007875	0.012764	
160	0.075741	0.059007	1.886154	0.007996	0.012621	
164	0.081680	0.059985	1.976429	0.008359	0.012969	
168	0.083363	0.062174	2.082450	0.008538	0.013366	
172	0.086766	0.062344	2.161029	0.009073	0.013771	
176	0.090069	0.064287	2.256098	0.009089	0.013963	
180	0.092801	0.065699	2.360199	0.009250	0.014285	
184	0.095905	0.066587	2.442900	0.009506	0.014698	
188	0.098386	0.068260	2.530529	0.009684	0.014969	
192	0.099912	0.070617	2.664934	0.009864	0.015215	
196	0.100850	0.071051	2.721973	0.010192	0.015761	
200	0.104824	0.071411	2.816556	0.010692	0.015977	
204	0.107634	0.073866	2.896268	0.010600	0.016516	
208	0.109244	0.075552	3.030141	0.010702	0.016649	
212	0.113083	0.076886	3.142447	0.011049	0.018032	
216	0.116129	0.077981	3.294476	0.011364	0.017469	
220	0.118408	0.079345	3.397220	0.011470	0.017945	
224	0.121225	0.080886	3.487656	0.011690	0.019106	
228	0.122868	0.083093	3.613698	0.012021	0.018643	
232	0.127633	0.083698	3.741926	0.012090	0.018790	
236	0.130736	0.084504	3.871689	0.012345	0.019954	
240	0.142272	0.088116	4.052779	0.012689	0.019376	
244	0.139983	0.087560	4.207685	0.013486	0.020231	
248	0.142546	0.090302	4.339694	0.013029	0.021265	
252	0.155983	0.094402	4.639225	0.015380	0.030506	
