Specifications
--------------

Compiler: GCC 9.3.0, Optimization -O3
System: Ubuntu 20.04
CPU: AMD FX-6300 (6 cores)
RAM: 8GB

Matrix-vector multiplication
----------------------------

Dimension	Dense (Threads: 1)	Dense (Threads: 2)	Dense (Threads: 3)	Dense (Threads: 4)	Sparse	
5	0.090104	0.083236	0.080406	0.084121	0.085838	
10	0.108363	0.105873	0.105675	0.107529	0.240818	
15	0.178929	0.17095	0.169129	0.190973	0.355644	
20	0.206379	0.200647	0.198954	0.199323	0.434205	
25	0.338633	0.331575	0.332886	0.340275	0.512162	
30	0.396958	0.398341	0.405409	0.392864	0.625586	
35	0.571975	0.562781	0.479012	0.496469	0.547323	
40	0.526657	0.5047	0.518876	0.522453	0.649002	
45	0.82725	0.827219	0.843626	0.844739	0.773466	
50	0.897226	0.884362	0.871151	1.11702	0.815679	
55	1.09874	1.19473	1.20238	1.21051	0.884444	
60	1.09391	1.12557	1.16883	1.19808	1.06019	
65	1.59818	1.52002	1.46631	1.60011	1.08622	
70	1.51038	1.56439	1.47523	1.40655	1.15014	
75	2.33338	2.20943	2.06433	2.16776	1.31365	
80	2.08665	2.01527	2.26397	1.86807	1.41674	
85	2.62098	2.79294	2.36336	2.48354	1.47362	
90	2.32484	2.47781	2.52612	2.31668	1.50375	
95	3.27472	3.41111	3.24886	3.42021	1.76666	
100	3.2267	2.96811	2.83013	3.22984	1.74848	
105	3.89109	3.97738	4.01754	4.26186	1.9024	
110	3.52636	3.65639	3.84007	3.70851	1.88304	
115	4.78481	5.16178	4.89846	4.89317	2.10141	
120	4.01588	4.28239	4.08083	4.05569	2.00521	
125	5.22232	5.6528	5.71938	5.567	2.28734	
130	5.18218	5.69476	5.44922	5.43843	2.20559	
135	6.27168	6.40845	6.49097	6.55981	2.35857	
140	6.21261	6.29134	6.50995	6.3092	2.33001	
145	7.06321	7.27689	7.32102	7.30718	2.3634	
150	6.61938	10.1104	6.8887	6.91482	2.53299	
155	8.04684	8.22391	8.51531	8.49945	2.56112	
160	7.17952	7.20833	7.47777	7.46238	2.5999	
165	8.90296	9.16139	9.47199	9.39914	2.70917	
170	8.78471	8.92095	9.14064	9.14022	2.86557	
175	10.3055	10.7845	10.884	10.5189	3.06131	
180	9.61307	9.85919	9.89036	9.8833	2.94757	
185	11.2372	11.8029	11.8297	11.7992	3.03119	
190	10.7903	11.2985	11.3342	11.3025	3.14763	
195	12.4523	13.1467	13.1232	13.2369	3.13475	
200	11.6224	11.9885	11.8941	11.9179	3.28749	
205	13.9972	14.7172	14.7104	14.8229	3.32532	
210	12.7576	13.4362	13.326	13.4054	3.42012	
215	15.0306	15.7204	15.7968	15.8881	3.40389	
220	14.1019	14.7653	14.8164	14.8011	3.55736	
225	16.3704	17.2605	17.1485	17.08	3.68239	
230	15.2728	15.753	15.7721	15.6655	3.93308	
235	18.1383	18.786	18.7421	18.7722	3.84056	
240	15.8872	16.6814	16.789	16.7599	4.04926	
245	19.3505	20.0494	20.1856	20.1209	3.91733	
250	18.2055	18.8997	18.8433	18.8436	4.02267	
255	22.1137	22.7399	22.57	22.5321	4.10973	
260	20.3157	20.8148	20.8327	20.829	4.594	
265	22.9267	23.5236	23.4904	23.4935	4.34204	
270	21.3923	22.0116	21.9712	21.9781	4.53874	
275	24.7472	25.3318	25.2871	25.3208	4.37394	
280	22.2713	22.7918	22.8011	22.7807	4.56603	
285	26.7634	27.3767	27.3584	27.3588	4.68529	
290	24.3817	24.9013	24.9943	24.9365	4.78611	
295	28.2476	28.7261	28.6955	28.7382	4.76712	
300	26.0902	26.7089	26.6621	26.6507	4.89893	

Matrix-matrix multiplication
----------------------------

Dimension	Dense (Threads: 1)	Dense (Threads: 2)	Dense (Threads: 3)	Dense (Threads: 4)	Sparse	
5	0.200864	0.193634	0.192185	0.194288	1.08383	
10	0.660776	0.663584	0.655066	0.654821	3.90647	
15	1.81032	1.88725	1.9707	1.84935	7.11924	
20	3.17528	3.46343	3.22362	3.30279	10.0856	
25	6.51412	6.56667	6.75738	6.29514	13.505	
30	10.0404	10.2571	10.6247	10.2818	15.9163	
35	15.8573	16.5127	16.6047	16.4407	18.9761	
40	21.0114	21.8123	22.2112	21.7538	20.7093	
45	31.4992	32.1298	32.5881	32.5826	23.3588	
50	41.2146	36.6599	29.3873	29.4347	26.3456	
55	57.6862	45.0139	39.8906	35.8027	29.0016	
60	69.2596	45.7911	42.6167	49.5877	31.7826	
65	91.4923	68.0746	52.0821	51.1394	34.0743	
70	109.644	79.7292	69.4676	66.2839	36.9434	
75	140.725	91.8666	74.5177	83.7674	39.4303	
